ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date
9999.HK,"NetEase, Inc.",182.4,HKD,84.0,A,84.0,ROE 22.6% | Potencial +39% analistas | FCF yield 5.4% | Margen 30% | Dividendo 2.5% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,253.18,38.8,22,5.4,4.85,2.54,,22.6,11.6,15.3,30.0,3.0,-26.5,regulatory risks in Chinese tech sector | cyclical risks in gaming industry,NTES,SUSPECT,Low forward P/E and high profit margin may indicate potential overestimation of future earnings,2026-03-20
0700.HK,Tencent Holdings Limited,508.0,HKD,82.0,A,82.0,ROE 20.0% | Potencial +49% analistas | Margen 30% | Dividendo 1.0% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,756.48,48.9,44,3.8,6.11,1.03,,20.0,13.0,20.1,29.9,12.7,-25.6,Regulatory risks due to Chinese tech sector oversight | Geopolitical risks due to US-China trade tensions,TCEHY,SUSPECT,"Forward P/E is significantly lower than Trailing P/E, indicating potential inconsistencies in earnings estimates",2026-03-20
2020.HK,ANTA Sports Products Limited,76.65,HKD,82.0,A,82.0,ROE 25.4% | Potencial +41% analistas | FCF yield 5.9% | Dividendo 3.5% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,107.96,40.8,32,5.9,5.11,3.54,,25.4,13.2,12.9,19.7,14.3,-27.9,Cyclical Risk | Geopolitical Risk,,CLEAN,Metrics appear reasonable for a consumer cyclical company,2026-03-20
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",61.75,HKD,77.0,A,77.0,P/E 6.6x (vs 11x mercado) | Potencial +36% analistas | Crecimiento ingresos +36% | Dividendo 4.5% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,84.27,36.5,18,,4.56,4.55,,12.2,6.6,7.1,14.1,35.5,-17.3,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risk | Geopolitical risk | Real estate exposure,PNGAY,SUSPECT,Anomalous FCF yield and potential exposure to Chinese real estate sector pose concerns,2026-03-20
000660.KS,SK hynix Inc.,1007000.0,KRW,76.0,A,76.0,ROE 44.1% | P/E 4.6x (vs 11x mercado) | Potencial +26% | Crecimiento ingresos +66% | Margen 44%,2,0,Technology,Korea,🇰🇷,21.2,1271486.2,26.3,38,2.5,3.28,,,44.1,4.6,,44.2,66.1,-8.4,cyclical | geopolitical,HXSCL,SUSPECT,Anomalous forward P/E of 4.6x and extremely high ROE and profit margin for a technology company,2026-03-20
0388.HK,Hong Kong Exchanges and Clearing Limited,396.0,HKD,73.0,A,73.0,ROE 31.5% | Potencial +31% analistas | Margen 62% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,519.24,31.1,17,,3.89,3.27,,31.5,26.1,28.3,61.5,13.8,-15.0,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory Risk | Real Estate Exposure,,SUSPECT,Anomalous profit margin and lack of FCF yield data raise concerns,2026-03-20
6690.HK,"Haier Smart Home Co., Ltd.",24.36,HKD,71.0,A,71.0,ROE 18.2% | P/E 9.1x | Potencial +36% analistas | Dividendo 5.5% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Consumer Cyclical,HongKong,🇭🇰,10.7,33.1,35.9,18,0.7,4.48,5.47,,18.2,9.1,9.5,6.8,9.5,-13.6,cyclical risk | governance risk,,SUSPECT,Low FCF yield and high dividend yield may indicate potential cash flow issues,2026-03-20
9984.T,SoftBank Group Corp.,3558.0,JPY,69.0,A,69.0,ROE 26.0% | P/E 12.0x | Potencial +52% analistas | FCF negativo | Margen 48% | Mercado Japan CAPE 29 (26% descuento histórico),4,1,Communication Services,Japan,🇯🇵,29.4,5416.85,52.2,17,-0.3,6.53,0.31,,26.0,12.0,6.7,48.2,8.2,-48.6,cyclical | governance,SFTBY,SUSPECT,Negative FCF yield and low dividend yield raise concerns about the company's ability to generate cash and reward shareholders,2026-03-20
TOTS3.SA,TOTVS S.A.,34.15,BRL,69.0,A,69.0,ROE 16.1% | Potencial +52% analistas | Crecimiento ingresos +15% | Dividendo 1.8% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Technology,Brazil,🇧🇷,9.0,51.75,51.5,13,1.1,6.44,1.79,,16.1,15.3,24.2,15.4,15.1,-29.4,Earnings Growth Risk | Valuation Risk,,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual and may indicate potential overestimation of future earnings",2026-03-20
SUZB3.SA,Suzano S.A.,51.12,BRL,69.0,A,69.0,ROE 35.2% | P/E 6.2x (vs 10x mercado) | Potencial +39% analistas | FCF negativo | Margen 27% | Dividendo 2.2% | Mercado Brazil CAPE 9 (34% descuento histórico),4,1,Basic Materials,Brazil,🇧🇷,9.0,71.21,39.3,17,-0.8,4.91,2.18,,35.2,6.2,4.7,26.8,-7.5,-14.3,Ingresos en declive YoY | Deuda elevada (D/E >2x) | High Debt | Negative FCF Yield | Cyclical Industry Risks,,RISKY,Negative FCF yield and high debt-to-equity ratio raise concerns,2026-03-20
0005.HK,HSBC Holdings plc,124.5,HKD,68.0,A,68.0,P/E 9.1x | Potencial +26% | Crecimiento ingresos +58% | Margen 35% | Dividendo 4.7% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,157.37,26.4,9,,3.3,4.73,,11.6,9.1,13.2,35.2,58.4,-15.9,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risk | Geopolitical risk | Real estate exposure,HSBC,SUSPECT,Anomalous profit margin and revenue growth for a financial services company,2026-03-20
4568.T,"Daiichi Sankyo Company, Limited",2903.0,JPY,68.0,A,68.0,ROE 18.3% | Potencial +65% analistas | FCF negativo | Crecimiento ingresos +15% | Dividendo 2.7% | Mercado Japan CAPE 29 (26% descuento histórico),3,1,Healthcare,Japan,🇯🇵,29.4,4786.88,64.9,16,-2.0,8.11,2.69,,18.3,20.2,19.4,14.8,15.1,-30.5,Negative FCF Yield | Regulatory Risk in Healthcare Sector,DSNKY,SUSPECT,Negative FCF yield is anomalous for a healthcare company with positive profit margin and revenue growth,2026-03-20
8766.T,"Tokio Marine Holdings, Inc.",6032.0,JPY,68.0,A,68.0,ROE 20.7% | P/E 12.2x | Potencial +16% | Crecimiento ingresos +22% | Dividendo 3.5% | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Financial Services,Japan,🇯🇵,29.4,6972.0,15.6,10,,1.95,3.5,,20.7,12.2,11.0,12.6,21.8,-10.1,FCF no comparable (sector financiero) | Regulatory risk due to Japanese financial regulations | Cyclical risk inherent to insurance industry,TKOMY,CLEAN,Metrics appear reasonable for an insurance company,2026-03-20
6098.T,"Recruit Holdings Co., Ltd.",6332.0,JPY,67.0,A,67.0,ROE 27.3% | Potencial +56% analistas | Mercado Japan CAPE 29 (26% descuento histórico),2,0,Communication Services,Japan,🇯🇵,29.4,9873.75,55.9,16,4.7,6.99,0.39,,27.3,20.9,21.3,12.8,5.2,-33.8,regulatory risk in Japanese labor market | cyclical risk in recruitment industry,RCRUY,SUSPECT,High ROE and analyst upside may indicate overvaluation or unrealistic expectations,2026-03-20
PETR4.SA,Petróleo Brasileiro S.A. - Petrobras,46.78,BRL,67.0,A,67.0,ROE 28.2% | P/E 4.2x (vs 10x mercado) | FCF yield 14.1% | Margen 22% | Mercado Brazil CAPE 9 (34% descuento histórico),4,0,Energy,Brazil,🇧🇷,9.0,43.74,-6.5,13,14.1,-0.81,8.35,,28.2,4.2,5.7,22.1,5.0,-1.0,Geopolitical Risk | Cyclical Risk,PBR,SUSPECT,Anomalous FCF yield and dividend yield for an energy company,2026-03-20
0941.HK,China Mobile Limited,78.8,HKD,66.0,A,66.0,P/E 10.2x | Potencial +27% | FCF yield 8.6% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Communication Services,HongKong,🇭🇰,10.7,100.21,27.2,14,8.6,3.4,6.57,,10.5,10.2,10.6,13.7,2.5,-13.0,regulatory risks in China | geopolitical risks,,SUSPECT,FCF yield seems high for a telecom company,2026-03-20
1810.HK,Xiaomi Corporation,33.2,HKD,65.0,A,65.0,ROE 19.9% | Potencial +45% analistas | Crecimiento ingresos +22% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Technology,HongKong,🇭🇰,10.7,48.03,44.7,30,3.8,5.58,,,19.9,19.0,20.2,9.8,22.3,-46.0,Geopolitical Risk | Regulatory Risk,,SUSPECT,High revenue growth and analyst upside may not be sustainable given geopolitical and regulatory risks in the technology sector,2026-03-20
7733.T,Olympus Corporation,1374.0,JPY,64.0,B,64.0,P/E 10.9x (vs 16x mercado) | Potencial +36% analistas | Dividendo 2.2% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Healthcare,Japan,🇯🇵,29.4,1865.38,35.8,13,0.7,4.47,2.18,,11.2,10.9,15.9,8.6,3.9,-36.6,cyclical | governance,,SUSPECT,Low FCF yield and relatively low profit margin raise concerns about the company's ability to generate cash and maintain profitability,2026-03-20
005930.KS,"Samsung Electronics Co., Ltd.",199400.0,KRW,64.0,B,64.0,P/E 6.9x (vs 11x mercado) | Potencial +20% | Crecimiento ingresos +24% | Dividendo 1.1%,0,0,Technology,Korea,🇰🇷,21.2,239873.48,20.3,37,1.8,2.54,1.13,,10.8,6.9,,13.3,23.8,-10.6,incomplete_data | potential_accounting_issues,SSNLF,SUSPECT,"Trailing P/E is reported as non-existent, which is unusual for a well-established company like Samsung Electronics",2026-03-20
ITUB4.SA,Itaú Unibanco Holding S.A.,42.58,BRL,63.0,B,63.0,ROE 21.0% | P/E 8.2x | Potencial +13% | Margen 32% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Financial Services,Brazil,🇧🇷,9.0,47.92,12.5,13,,1.57,1.29,,21.0,8.2,10.6,32.3,11.0,-14.3,FCF no comparable (sector financiero) | regulatory risk | geopolitical risk | cyclical risk,ITUB,SUSPECT,Low forward P/E and high ROE may indicate undervaluation or accounting discrepancies,2026-03-20
LREN3.SA,Lojas Renner S.A.,15.15,BRL,62.0,B,62.0,P/E 8.7x | Potencial +27% | FCF yield 10.6% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Consumer Cyclical,Brazil,🇧🇷,9.0,19.21,26.8,15,10.6,3.35,6.01,,13.7,8.7,10.6,9.2,4.8,-23.8,cyclical risk | emerging market risk,,SUSPECT,FCF yield seems unusually high for a consumer cyclical company,2026-03-20
RDOR3.SA,Rede D'Or São Luiz S.A.,37.17,BRL,62.0,B,62.0,ROE 20.0% | Potencial +36% analistas | FCF yield 5.3% | Mercado Brazil CAPE 9 (34% descuento histórico),3,0,Healthcare,Brazil,🇧🇷,9.0,50.44,35.7,13,5.3,4.46,8.99,,20.0,13.1,17.5,8.4,11.9,-23.2,Deuda elevada (D/E >2x) | Deuda elevada | Potential dividend trap,RDORY,RISKY,High debt-to-equity ratio and unusually high dividend yield raise concerns,2026-03-20
RENT3.SA,Localiza Rent a Car S.A.,44.42,BRL,62.0,B,62.0,P/E 8.9x | Potencial +32% analistas | FCF yield 13.3% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Industrials,Brazil,🇧🇷,9.0,58.49,31.7,15,13.3,3.96,4.64,,7.2,8.9,25.2,4.5,11.7,-16.2,Earnings Volatility | Estimation Risk,,SUSPECT,Anomalous trailing P/E of 25.2x compared to forward P/E of 8.9x may indicate inconsistent earnings expectations,2026-03-20
1398.HK,Industrial and Commercial Bank of China Limited,6.6,HKD,61.0,B,61.0,P/E 5.7x (vs 11x mercado) | Potencial +12% | Margen 54% | Dividendo 5.1% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,7.42,12.4,17,,1.55,5.11,,9.1,5.7,5.8,54.3,5.8,-0.9,FCF no comparable (sector financiero) | Empresa estatal — riesgo de gobierno corporativo | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risk | Geopolitical risk | Real estate exposure | Governance risk,,RISKY,Anomalous profit margin and lack of FCF yield data raise concerns,2026-03-20
BBDC4.SA,Banco Bradesco S.A.,18.64,BRL,61.0,B,61.0,P/E 6.2x (vs 10x mercado) | Potencial +17% | Margen 27% | Dividendo 1.2% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Financial Services,Brazil,🇧🇷,9.0,21.85,17.2,13,,2.15,1.22,,13.8,6.2,8.8,26.5,6.0,-15.7,FCF no comparable (sector financiero) | regulatory risk | geopolitical risk | cyclical risk,BBD,SUSPECT,Low forward P/E and high profit margin may indicate potential overstatement of earnings or undervaluation,2026-03-20
0883.HK,CNOOC Limited,30.38,HKD,59.0,B,59.0,ROE 16.4% | P/E 9.4x | Margen 30% | Dividendo 4.9% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Energy,HongKong,🇭🇰,10.7,27.01,-11.1,14,3.8,-1.38,4.94,,16.4,9.4,10.3,30.3,5.7,0.0,cyclical | geopolitical | governance,,SUSPECT,Low forward P/E and high dividend yield may indicate undervaluation or underlying issues,2026-03-20
6902.T,DENSO Corporation,1915.5,JPY,58.0,B,58.0,P/E 9.9x (vs 16x mercado) | Potencial +22% | Dividendo 3.3% | Mercado Japan CAPE 29 (26% descuento histórico),1,0,Consumer Cyclical,Japan,🇯🇵,29.4,2337.5,22.0,16,1.1,2.75,3.34,,7.9,9.9,15.1,5.2,5.0,-19.3,cyclical risk | governance risk,,SUSPECT,Low ROE and profit margin for a consumer cyclical company,2026-03-20
0939.HK,China Construction Bank Corporation,8.08,HKD,57.0,B,57.0,P/E 5.4x (vs 11x mercado) | Potencial +18% | Margen 56% | Dividendo 5.3% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,9.53,18.0,18,,2.25,5.27,,9.6,5.4,5.5,55.9,3.0,-5.6,FCF no comparable (sector financiero) | Empresa estatal — riesgo de gobierno corporativo | Banco/aseguradora HK — exposición sector inmuebles chino | regulatory risk | geopolitical risk | real estate exposure,,RISKY,Low P/E ratio and high profit margin raise concerns about potential undervaluation or hidden risks,2026-03-20
012330.KS,"Hyundai Mobis Co.,Ltd",400500.0,KRW,57.0,B,57.0,P/E 7.4x (vs 11x mercado) | Potencial +35% analistas | Dividendo 1.6%,0,0,Consumer Cyclical,Korea,🇰🇷,21.2,542633.3,35.5,30,3.1,4.44,1.57,,7.7,7.4,,6.0,4.7,-24.6,cyclical risk | governance risk,,SUSPECT,Low forward P/E and trailing P/E not available raise concerns about potential undervaluation or missing data,2026-03-20
9618.HK,"JD.com, Inc.",108.6,HKD,57.0,B,57.0,P/E 6.9x (vs 11x mercado) | Potencial +37% analistas | FCF negativo | Dividendo 3.5% | Mercado HongKong CAPE 11 (33% descuento histórico),2,1,Consumer Cyclical,HongKong,🇭🇰,10.7,148.77,37.0,23,-5.4,4.62,3.53,,7.6,6.9,14.8,1.5,1.5,-36.1,cyclical risk | governance risk | regulatory risk,JD,RISKY,Negative FCF yield and low profit margin raise concerns about the company's financial health,2026-03-20
2382.HK,Sunny Optical Technology (Group) Company Limited,54.45,HKD,57.0,B,57.0,Potencial +66% analistas | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Technology,HongKong,🇭🇰,10.7,90.42,66.1,25,3.7,8.26,0.91,,13.5,12.9,16.0,8.4,4.2,-40.4,cyclical risk | geopolitical risk,,SUSPECT,Low dividend yield and moderate FCF yield raise concerns about the company's ability to generate cash and reward shareholders,2026-03-20
3988.HK,Bank of China Limited,4.7,HKD,57.0,B,57.0,P/E 5.6x (vs 11x mercado) | Potencial +17% | Margen 44% | Dividendo 5.4% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,5.49,16.8,18,,2.1,5.38,,8.3,5.6,5.5,43.5,2.8,-2.1,FCF no comparable (sector financiero) | Empresa estatal — riesgo de gobierno corporativo | Banco/aseguradora HK — exposición sector inmuebles chino | regulatory risk | geopolitical risk | real estate exposure,,RISKY,Low P/E ratio and high profit margin raise concerns about potential undervaluation or hidden risks,2026-03-20
035420.KS,NAVER Corporation,221500.0,KRW,55.0,B,55.0,Potencial +47% analistas | Dividendo 1.2%,0,0,Communication Services,Korea,🇰🇷,21.2,326269.22,47.3,26,4.4,5.91,1.19,,6.5,14.2,,16.2,10.7,-24.9,incomplete_data | potential_accounting_issues,,SUSPECT,"Trailing P/E is reported as non-existent, which is unusual for a publicly traded company like NAVER Corporation",2026-03-20
000270.KS,Kia Corporation,168500.0,KRW,55.0,B,55.0,P/E 7.1x (vs 11x mercado) | Potencial +22% | Dividendo 4.0%,0,0,Consumer Cyclical,Korea,🇰🇷,21.2,205645.16,22.0,31,2.9,2.76,3.99,,12.9,7.1,,6.6,3.5,-20.7,cyclical risk | geopolitical risk,,SUSPECT,"Trailing P/E is reported as non-existent, which is unusual for a publicly traded company like Kia Corporation",2026-03-20
086790.KS,Hana Financial Group Inc.,113200.0,KRW,55.0,B,55.0,P/E 6.7x (vs 11x mercado) | Potencial +13% | Crecimiento ingresos +83% | Margen 32% | Dividendo 4.8%,1,0,Financial Services,Korea,🇰🇷,21.2,128295.65,13.3,23,,1.67,4.83,,9.0,6.7,,32.3,82.9,-15.3,FCF no comparable (sector financiero) | Regulatory Risk | Cyclical Risk,,SUSPECT,Anomalous forward P/E of 6.7x and high revenue growth YoY of 82.9% may indicate potential overvaluation or one-time gains,2026-03-20
7203.T,Toyota Motor Corporation,3325.0,JPY,54.0,B,54.0,P/E 10.3x (vs 16x mercado) | Potencial +21% | FCF negativo | Dividendo 2.9% | Mercado Japan CAPE 29 (26% descuento histórico),2,1,Consumer Cyclical,Japan,🇯🇵,29.4,4023.09,21.0,16,-0.1,2.62,2.86,,10.0,10.3,11.7,7.3,8.6,-16.9,cyclical risk | geopolitical risk,TM,SUSPECT,Negative FCF yield is anomalous for a well-established automaker like Toyota,2026-03-20
1299.HK,AIA Group Limited,86.05,HKD,54.0,B,54.0,Potencial +18% | Margen 24% | Dividendo 2.3% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Financial Services,HongKong,🇭🇰,10.7,101.26,17.7,18,,2.21,2.33,,14.8,13.1,19.6,23.8,6.0,-6.6,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risk | Geopolitical risk | Real estate risk,,SUSPECT,Anomalous FCF yield and potential exposure to Chinese real estate sector,2026-03-20
8035.T,Tokyo Electron Limited,39330.0,JPY,52.0,B,52.0,ROE 26.5% | Potencial +21% | Margen 21% | Dividendo 1.5% | Mercado Japan CAPE 29 (26% descuento histórico),3,0,Technology,Japan,🇯🇵,29.4,47433.33,20.6,21,1.6,2.58,1.53,,26.5,30.7,33.4,21.1,-15.7,-15.6,Ingresos en declive YoY | Cyclical Risk | Regulatory Risk,,RISKY,Negative revenue growth and high P/E ratios raise concerns,2026-03-20
