ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,eu_insider_bonus,market_regime,ai_verdict,ai_confidence,ai_reasoning,entry_price,stop_loss,exit_price,risk_pct,reward_pct,entry_timing,conviction_score,conviction_grade,conviction_reasons,conviction_positives,conviction_red_flags
LOGN.SW,LOGITECH N,84.9,🏆 ELITE,🟢 Elite,100.0,90.0,54.5,100.0,65.0,,,,,74.3,True,2,40.7,True,1,"{'eps_growth_yoy': 74.3, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 14.9}","{'revenue_growth_yoy': 40.7, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 4.5, 'rs_6m': -13.9}","{'roe_pct': 32.1, 'debt_to_equity': 0.04, 'current_ratio': 2.21, 'operating_margin_pct': 20.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 17.4}",76.36,11214051328,Technology,Computer Hardware,,,False,98.94,-22.8,5.0,False,89.68,112.57,67.54,11.0,buy,17.4,183.51,140.3,106.68,39.7,6.08,4.65,1.72,33.1,1.26,1.46,True,-3.4,165.5,19.6,27.0,2026-05-05,False,False,7.0,NEUTRAL,7.39,39.5,0.62,2026-04-08T11:08:40.902006,SMI20,66.0,6.0,5.0,3.0,5.0,2.17,1.0,0.0,CONFIRMED_UPTREND,BUY,85,"Strong fundamentals with high ROE, margin, and growth, combined with analyst validation and realistic upside",73.97,68.05,100.9,8.0,36.4,BUY ON PULLBACK - Wait for 2-5% dip,83.9,A,ROE 32% (excelente) | Deuda minima (0.04) | FCF Yield 6.1% (bueno) | DCF dice +140% infravalorada,9,0
EXPN.L,EXPERIAN PLC ORD USD0.10,51.8,⭐ AVERAGE,🟡 Average,55.0,50.0,30.0,65.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 17.1},{},"{'rs_3m': -17.7, 'rs_6m': -24.7}","{'roe_pct': 26.8, 'debt_to_equity': 1.05, 'current_ratio': 0.68, 'operating_margin_pct': 24.9}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 57.1}",2651.5,23833831424,Industrials,Consulting Services,,,False,4101.0,-35.3,1.0,False,4166.32,4684.43,2865.72,18.0,strong_buy,57.1,62.14,-97.7,33.6,-98.7,5.52,1.47,1.83,42.5,0.47,1.36,,,,36.0,42.0,2026-05-20,False,False,5.0,NEUTRAL,5.96,493.1,0.49,2026-04-08T11:00:53.715809,FTSE100,54.7,6.0,5.0,0.0,5.0,7.14,3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, reasonable debt, and upside potential validated by 18 analysts",2614.64,2434.32,3832.04,6.9,46.56,BUY ON PULLBACK - Wait for 2-5% dip,69.6,B,ROE 27% (excelente) | FCF Yield 5.5% (bueno) | Strong Buy (18 analistas) | R:R 7.1:1 (excelente),6,0
IAG.MC,INTL CONSOLIDATED AIRLINES GROU,70.5,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,60.0,50.0,60.0,65.0,,,,,263.1,False,0,13.3,False,0,"{'eps_growth_yoy': 263.1, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 10.1}","{'revenue_growth_yoy': 13.3, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -6.2, 'rs_6m': -0.5}","{'roe_pct': 48.5, 'debt_to_equity': 1.88, 'current_ratio': 0.7, 'operating_margin_pct': 14.1}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 27.4}",4.486,20271613952,Industrials,Airlines,,,False,5.3,-15.4,5.0,False,5.71,6.55,5.1,10.0,strong_buy,27.4,20.71,361.7,20.7,361.4,10.89,0.49,2.37,15.5,0.1,4.93,,,6.5,70.4,30.0,2026-05-08,False,False,8.0,STRONG,21.44,24.8,0.08,2026-04-08T11:05:51.411846,IBEX35,61.2,8.0,5.0,0.0,5.0,3.42,3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE, decent margin, and manageable debt, combined with analyst validation and realistic upside potential.",4.5,4.14,5.82,8.0,29.43,BUY ON PULLBACK - Wait for 2-5% dip,67.9,B,ROE 48% (excelente) | FCF Yield 10.9% (excelente) | DCF dice +362% infravalorada | Strong Buy (10 analistas),6,0
AMS.MC,"AMADEUS IT GROUP, S.A.",47.5,⚠️ WEAK,🔴 Weak,55.0,30.0,30.0,70.0,70.0,,,,,-30.3,False,0,-0.6,False,0,"{'eps_growth_yoy': -30.3, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.5}","{'revenue_growth_yoy': -0.6, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -16.9, 'rs_6m': -24.5}","{'roe_pct': 26.9, 'debt_to_equity': 0.67, 'current_ratio': 0.82, 'operating_margin_pct': 24.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 33.5}",50.9,21516466176,Technology,Information Technology Services,,,False,75.38,-32.5,0.0,False,67.94,81.5,53.0,21.0,buy,33.5,37.65,-26.0,30.1,-40.9,5.02,2.56,2.87,46.2,1.42,1.73,True,-3.94,22.3,-3.8,30.0,2026-05-08,False,False,7.0,NEUTRAL,7.82,473.7,,2026-04-08T11:05:29.575592,IBEX35,51.0,6.0,5.0,3.0,0.0,4.19,3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, moderate debt, and upside potential validated by multiple analysts",49.39,46.99,70.78,4.86,43.31,BUY ON PULLBACK - Wait for 2-5% dip,67.0,B,ROE 27% (excelente) | FCF Yield 5.0% (bueno) | Buy (21 analistas) | R:R 4.2:1 (excelente) || RED FLAGS: DCF dice SOBREVALORADA (-26%),8,1
SAP.DE,SAP SE                        I,55.2,⭐ AVERAGE,🟡 Average,50.0,70.0,15.0,85.0,70.0,,,,,-5.6,False,0,7.4,True,2,"{'eps_growth_yoy': -5.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 19.5}","{'revenue_growth_yoy': 7.4, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': -21.4, 'rs_6m': -32.6}","{'roe_pct': 16.1, 'debt_to_equity': 0.17, 'current_ratio': 1.16, 'operating_margin_pct': 29.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 51.7}",153.18,178846679040,Technology,Software - Application,,,False,273.55,-44.0,0.0,False,232.42,290.0,175.0,27.0,buy,51.7,116.33,-24.1,61.0,-60.2,4.74,7.26,1.68,38.5,2.5,1.45,True,-1.08,21.8,5.0,15.0,2026-04-23,False,True,8.0,STRONG,6.41,146.7,3.6,2026-04-08T10:57:26.470752,DAX40,64.1,3.0,5.0,3.0,1.0,6.46,3.0,15.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with ROE > 10%, Margin > 10%, and Debt/Eq < 2x, combined with significant upside potential and validation from 27 analysts",140.32,134.79,229.18,3.94,63.33,BUY ON PULLBACK - Wait for 2-5% dip,66.1,B,ROE 16% (bueno) | Deuda minima (0.17) | Buy (27 analistas) | R:R 6.5:1 (excelente) || RED FLAGS: DCF dice SOBREVALORADA (-24%),7,1
HNR1.DE,HANNOVER RUECK SE NA O.N.,79.0,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,80.0,66.5,65.0,60.0,,,,,40.8,True,1,14.5,True,2,"{'eps_growth_yoy': 40.8, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 10.2}","{'revenue_growth_yoy': 14.5, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 11.8, 'rs_6m': 5.8}","{'roe_pct': 20.8, 'debt_to_equity': 0.31, 'current_ratio': 0.21, 'operating_margin_pct': 18.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 7.6}",268.6,32392390656,Financial Services,Insurance - Reinsurance,,,False,292.6,-8.2,3.0,False,289.0,360.0,239.0,15.0,buy,7.6,1019.9,279.7,657.0,144.6,8.95,24.05,4.63,32.0,12.5,2.62,False,,26.5,23.9,33.0,2026-05-11,False,False,7.0,NEUTRAL,11.38,,0.33,2026-04-08T10:59:07.283718,DAX40,61.6,8.0,8.0,0.0,5.0,0.95,-3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, low debt, and positive growth, combined with analyst validation and realistic upside",275.93,253.86,332.94,8.0,20.66,BUY NOW - At target entry price,66.1,B,ROE 21% (bueno) | FCF Yield 8.9% (excelente) | DCF dice +280% infravalorada | Buy (15 analistas) || RED FLAGS: R:R 0.9:1 (pobre),5,1
PUB.PA,PUBLICIS GROUPE SA,52.8,⭐ AVERAGE,🟡 Average,50.0,50.0,50.0,55.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 9.5},{},"{'rs_3m': -8.8, 'rs_6m': -7.8}","{'roe_pct': 15.5, 'debt_to_equity': 0.54, 'current_ratio': 0.97, 'operating_margin_pct': 13.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 42.3}",75.52,18793996288,Communication Services,Advertising Agencies,,,False,100.55,-24.9,2.0,False,107.43,130.0,90.0,14.0,buy,42.3,95.99,27.1,65.2,-13.7,8.62,6.52,4.97,55.2,3.6,3.68,,,,-6.6,99.0,2026-07-16,False,False,6.0,NEUTRAL,11.77,110.1,,2026-04-08T11:04:16.789924,CAC40,45.1,8.0,8.0,0.0,0.0,5.29,3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with ROE > 10% and Margin > 9%, debt/equity ratio is reasonable, and analyst validation with 14 analysts",74.83,68.85,100.61,8.0,34.45,BUY ON PULLBACK - Wait for 2-5% dip,65.2,B,ROE 16% (bueno) | FCF Yield 8.6% (excelente) | DCF: +27% margen | Buy (14 analistas),7,0
PGHN.SW,PARTNERS GROUP N,60.2,⭐⭐ GOOD,🟡 Good,60.0,50.0,50.0,85.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 49.3},{},"{'rs_3m': -6.1, 'rs_6m': -13.2}","{'roe_pct': 54.8, 'debt_to_equity': 1.14, 'current_ratio': 1.67, 'operating_margin_pct': 60.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 35.6}",897.2,23132628992,Financial Services,Asset Management,,,False,1205.0,-25.5,1.0,False,1216.83,1330.0,930.0,12.0,buy,35.6,1070.36,19.3,533.17,-40.6,5.81,52.13,5.31,86.7,46.0,3.29,,,,7.7,146.0,2026-09-01,False,False,7.0,NEUTRAL,6.56,75.9,1.33,2026-04-08T11:08:26.054118,SMI20,51.1,6.0,0.0,0.0,3.0,4.45,3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, reasonable debt, and upside potential validated by multiple analysts",876.51,806.39,1190.24,8.0,35.79,BUY ON PULLBACK - Wait for 2-5% dip,64.3,B,ROE 55% (excelente) | FCF Yield 5.8% (bueno) | Buy (12 analistas) | R:R 4.5:1 (excelente),7,0
PRU.L,PRUDENTIAL PLC ORD 5P,63.4,⭐⭐ GOOD,🟡 Good,60.0,50.0,60.5,95.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 27.6},{},"{'rs_3m': 2.1, 'rs_6m': 9.6}","{'roe_pct': 20.6, 'debt_to_equity': 0.28, 'current_ratio': 2.39, 'operating_margin_pct': 45.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 21.2}",1133.0,28438292480,Financial Services,Insurance - Life,,,False,1238.0,-8.5,7.0,True,1373.35,1610.0,1190.0,15.0,buy,21.2,47.02,-95.8,34.5,-97.0,9.78,1.11,1.84,15.4,0.2,1.63,,,,30.8,141.0,2026-08-27,False,False,6.0,NEUTRAL,16.76,,0.38,2026-04-08T11:01:21.081492,FTSE100,59.4,8.0,5.0,0.0,5.0,2.65,1.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, low debt, and analyst validation with a realistic upside",1090.25,1003.03,1390.13,8.0,27.51,BUY ON PULLBACK - Wait for 2-5% dip,63.4,B,ROE 21% (bueno) | Deuda minima (0.28) | FCF Yield 9.8% (excelente) | Buy (15 analistas),6,0
REL.L,RELX PLC ORD 14 51/116P,51.0,⭐ AVERAGE,🟡 Average,60.0,50.0,30.0,50.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 21.5},{},"{'rs_3m': -14.4, 'rs_6m': -24.1}","{'roe_pct': 70.5, 'debt_to_equity': 3.04, 'current_ratio': 0.49, 'operating_margin_pct': 31.4}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 43.7}",2552.0,45743157248,Industrials,Specialty Business Services,,,False,4183.0,-39.0,1.0,False,3667.17,5070.0,3000.0,15.0,strong_buy,43.7,31.45,-98.8,19.04,-99.3,4.72,1.21,2.67,57.4,0.68,1.98,,,,17.0,106.0,2026-07-23,False,False,7.0,NEUTRAL,5.71,1901.3,0.96,2026-04-08T11:00:43.004639,FTSE100,51.4,3.0,5.0,0.0,5.0,5.46,3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, upside potential of 43.7% supported by 15 analysts",2523.5,2321.62,3797.42,8.0,50.48,BUY ON PULLBACK - Wait for 2-5% dip,63.4,B,ROE 70% (excelente) | Strong Buy (15 analistas) | R:R 5.5:1 (excelente) | Dividendo 2.7% (payout 57%) || RED FLAGS: Deuda alta (3.0),6,1
