ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date
9999.HK,"NetEase, Inc.",183.3,HKD,84.0,A,84.0,ROE 22.6% | Potencial +38% analistas | FCF yield 5.3% | Margen 30% | Dividendo 2.5% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,252.4,37.7,22,5.3,4.71,2.48,,22.6,11.7,15.5,30.0,3.0,-26.1,regulatory risks in Chinese tech sector | cyclical risks in gaming industry,NTES,SUSPECT,Low forward P/E and high profit margin may indicate undervaluation or accounting discrepancies,2026-03-19
2020.HK,ANTA Sports Products Limited,77.3,HKD,82.0,A,82.0,ROE 25.4% | Potencial +39% analistas | FCF yield 5.9% | Dividendo 3.5% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,107.63,39.2,32,5.9,4.9,3.48,,25.4,13.4,13.2,19.7,14.3,-27.3,Cyclical Risk | Geopolitical Risk,,CLEAN,Metrics appear reasonable for a consumer cyclical company,2026-03-19
0700.HK,Tencent Holdings Limited,513.0,HKD,77.0,A,77.0,ROE 20.0% | Potencial +47% analistas | Margen 30% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,754.15,47.0,44,3.2,5.88,,,20.0,12.9,20.5,29.9,12.7,-24.9,Regulatory risks in China | Geopolitical risks due to US-China tensions,TCEHY,SUSPECT,Low forward P/E ratio of 12.9x seems anomalous for a growth company like Tencent Holdings,2026-03-19
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",61.65,HKD,77.0,A,77.0,P/E 6.6x (vs 11x mercado) | Potencial +36% analistas | Crecimiento ingresos +36% | Dividendo 4.4% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,84.01,36.3,18,,4.53,4.42,,12.2,6.6,7.2,14.1,35.5,-17.5,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risk | Geopolitical risk | Real estate exposure,PNGAY,SUSPECT,Anomalous FCF yield and potential exposure to Chinese real estate sector pose concerns,2026-03-19
000660.KS,SK hynix Inc.,1013000.0,KRW,76.0,A,76.0,ROE 44.1% | P/E 4.8x (vs 11x mercado) | Potencial +24% | Crecimiento ingresos +66% | Margen 44%,2,0,Technology,Korea,🇰🇷,21.2,1255696.8,24.0,38,2.5,2.99,,,44.1,4.8,,44.2,66.1,-7.8,cyclical | geopolitical,HXSCL,SUSPECT,Anomalous forward P/E of 4.8x seems too low for a technology company with high ROE and profit margin,2026-03-19
0388.HK,Hong Kong Exchanges and Clearing Limited,398.6,HKD,73.0,A,73.0,ROE 31.5% | Potencial +30% analistas | Margen 62% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,519.24,30.3,17,,3.78,3.24,,31.5,26.3,28.4,61.5,13.8,-14.5,FCF no comparable (sector financiero) | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory Risk | Real Estate Exposure,,SUSPECT,High ROE and profit margin may indicate potential overvaluation or accounting irregularities,2026-03-19
1299.HK,AIA Group Limited,82.8,HKD,71.0,A,71.0,ROE 15.1% | Potencial +22% | Crecimiento ingresos +29% | Margen 24% | Dividendo 2.1% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,101.31,22.4,18,,2.79,2.13,,15.1,13.8,18.9,23.8,29.4,-10.1,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risk | Geopolitical risk | Real estate exposure,,SUSPECT,Anomalous FCF yield and potential exposure to Chinese real estate sector,2026-03-19
6690.HK,"Haier Smart Home Co., Ltd.",24.6,HKD,71.0,A,71.0,ROE 18.2% | P/E 9.2x | Potencial +35% analistas | Dividendo 5.4% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Consumer Cyclical,HongKong,🇭🇰,10.7,33.1,34.6,18,0.7,4.32,5.37,,18.2,9.2,9.7,6.8,9.5,-12.8,cyclical risk | governance risk,,SUSPECT,Low FCF yield and high dividend yield may indicate potential cash flow issues,2026-03-19
9984.T,SoftBank Group Corp.,3558.0,JPY,69.0,A,69.0,ROE 26.0% | P/E 12.0x | Potencial +52% analistas | FCF negativo | Margen 48% | Mercado Japan CAPE 29 (26% descuento histórico),4,1,Communication Services,Japan,🇯🇵,29.4,5416.85,52.2,17,-0.3,6.53,0.31,,26.0,12.0,6.7,48.2,8.2,-48.6,governance risk | cyclical risk,SFTBY,SUSPECT,Negative FCF yield and low dividend yield are anomalous for a company with high profit margin and ROE,2026-03-19
SUZB3.SA,Suzano S.A.,52.56,BRL,69.0,A,69.0,ROE 35.2% | P/E 6.3x (vs 10x mercado) | Potencial +35% analistas | FCF negativo | Margen 27% | Dividendo 2.1% | Mercado Brazil CAPE 9 (34% descuento histórico),4,1,Basic Materials,Brazil,🇧🇷,9.0,71.21,35.5,17,-0.8,4.44,2.12,,35.2,6.3,4.9,26.8,-7.5,-11.9,Ingresos en declive YoY | Deuda elevada (D/E >2x) | High Debt | Negative FCF Yield | Cyclical Industry Risks,,RISKY,Negative FCF yield and high debt-to-equity ratio indicate potential liquidity and solvency issues,2026-03-19
