ticker,company_name,super_score_5d,tier,description,vcp_score,insiders_score,sector_score,institutional_score,sector_name,sector_momentum,tier_boost,dj_ticker,timing_convergence,timing_bonus,timing_reason,current_price,price_target,upside_percent,analyst_target,analyst_upside,num_analysts,fundamental_score,pe_ratio,peg_ratio,fcf_yield,roe,revenue_growth,num_whales,top_whales,vcp_repeater,repeat_count,consistency_score,repeater_bonus,thesis_short,investment_thesis,entry_price,entry_date,snapshot_id
INTC,Intel,83.8,⭐⭐⭐⭐ LEGENDARY,Señales positivas,88.575,90,78.86,0.0,Technology,improving,3,DJUSTC,True,10,🔥 TIMING PERFECTO: 4 compras de insiders durante VCP base (5 días),45.03,48.32,7.31,47.11098,4.621319120586276,41,20.0,,,-2.002597420286996,0.00022,-0.041,0,,True,2,20,6,Perfect Timing | Repeater 2x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐⭐ LEGENDARY)

• 📈 SECTOR IMPROVING: Technology saliendo de debilidad (0/100)
• 🔁 VCP REPEATER: Stock formó VCP patterns 2x históricamente - track record comprobado (+6 bonus)",45.029998779296875,2026-03-19,20260319_084255
KKR,KKR &,82.7,⭐⭐⭐⭐ LEGENDARY,Señales positivas,88.41666666666667,100,60.75,0.0,Financial Services,improving,0,DJUSFI,True,10,🔥 TIMING PERFECTO: 18 compras de insiders durante VCP base (23 días),90.63,119.97,32.37,140.24368,54.74310934569129,19,31.25,38.73077,,,0.08558,0.763,0,,True,3,40,9,Perfect Timing | Repeater 3x | 32% upside,"⚡ MODERATE (0.0/100 - ⭐⭐⭐⭐ LEGENDARY)

• 📈 SECTOR IMPROVING: Financial Services saliendo de debilidad (0/100)
• 🔁 VCP REPEATER: Stock formó VCP patterns 3x históricamente - track record comprobado (+9 bonus)
• 💰 UPSIDE POTENTIAL: 32% hasta precio objetivo $119.97",90.62999725341797,2026-03-19,20260319_084255
PRU,"Prudential Financial,",82.5,⭐⭐⭐⭐ LEGENDARY,Señales positivas,87.97058823529412,100,60.75,0.0,Financial Services,improving,0,DJUSFI,True,10,🔥 TIMING PERFECTO: 9 compras de insiders durante VCP base (10 días),92.91,106.14,14.23,110.07143,18.471025723818755,14,50.0,9.300301,,39.02823522645404,0.11359999,0.312,0,,True,3,40,9,Perfect Timing | Repeater 3x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐⭐ LEGENDARY)

• 📈 SECTOR IMPROVING: Financial Services saliendo de debilidad (0/100)
• 🔁 VCP REPEATER: Stock formó VCP patterns 3x históricamente - track record comprobado (+9 bonus)
• 📊 FUNDAMENTALS: FCF yield 39.0% (Score: 50/100)",92.91000366210938,2026-03-19,20260319_084255
WRB,W. R. Berkley,77.6,⭐⭐⭐ EXCELENTE,Señales positivas,71.375,100,60.75,0.0,Financial Services,improving,0,DJUSFI,True,10,🔥 TIMING PERFECTO: 67 compras de insiders durante VCP base (72 días),67.26,91.39,35.87,68.33333,1.595792447219746,15,45.0,15.114608,,13.11859309572096,0.19700001,0.015,0,,True,3,40,9,Perfect Timing | Repeater 3x | 36% upside,"⚡ MODERATE (0.0/100 - ⭐⭐⭐ EXCELENTE)

• 📈 SECTOR IMPROVING: Financial Services saliendo de debilidad (0/100)
• 🔁 VCP REPEATER: Stock formó VCP patterns 3x históricamente - track record comprobado (+9 bonus)
• 💰 UPSIDE POTENTIAL: 36% hasta precio objetivo $91.39
• 📊 FUNDAMENTALS: FCF yield 13.1% (Score: 45/100)",67.26000213623047,2026-03-19,20260319_084255
GPN,Global Payments,75.9,⭐⭐⭐ EXCELENTE,Señales positivas,92.02380952380952,70,58.81,0.0,Industrials,stable,0,DJUSIG,True,10,🔥 TIMING PERFECTO: 3 compras de insiders durante VCP base (2 días),,,,,,0,50.0,,,,,,0,,True,3,40,9,Perfect Timing | Repeater 3x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐ EXCELENTE)

• 🔁 VCP REPEATER: Stock formó VCP patterns 3x históricamente - track record comprobado (+9 bonus)",69.63999938964844,2026-03-19,20260319_084255
PODD,Insulet,74.2,⭐⭐⭐ EXCELENTE,Señales positivas,70.16666666666667,100,45.67,0.0,Healthcare,stable,0,DJUSHC,True,10,🔥 TIMING PERFECTO: 4 compras de insiders durante VCP base (6 días),230.28,196.83,-14.52,354.12,53.77800937988535,25,50.0,66.17242,,0.9555384337105554,0.18124,0.312,0,,True,3,40,9,Perfect Timing | Repeater 3x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐ EXCELENTE)

• 🔁 VCP REPEATER: Stock formó VCP patterns 3x históricamente - track record comprobado (+9 bonus)",230.27999877929688,2026-03-19,20260319_084255
URI,"United Rentals,",71.7,⭐⭐⭐ EXCELENTE,Señales positivas,87.96875,70,58.81,0.0,Industrials,stable,0,DJUSIG,True,10,🔥 TIMING PERFECTO: 3 compras de insiders durante VCP base (2 días),,,,,,0,50.0,,,,,,0,,True,2,20,6,Perfect Timing | Repeater 2x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐ EXCELENTE)

• 🔁 VCP REPEATER: Stock formó VCP patterns 2x históricamente - track record comprobado (+6 bonus)",725.2999877929688,2026-03-19,20260319_084255
OXY,Occidental Petroleum,71.0,⭐⭐⭐ EXCELENTE,Señales positivas,88.97619047619048,70,54.08,0.0,Energy,stable,0,DJUSEN,True,10,🔥 TIMING PERFECTO: 3 compras de insiders durante VCP base (4 días),,,,,,0,50.0,,,,,,0,,True,2,20,6,Perfect Timing | Repeater 2x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐ EXCELENTE)

• 🔁 VCP REPEATER: Stock formó VCP patterns 2x históricamente - track record comprobado (+6 bonus)",58.380001068115234,2026-03-19,20260319_084255
CVS,CVS Health,70.1,⭐⭐⭐ EXCELENTE,Seguimiento recomendado,74.78571428571429,90,45.67,0.0,Healthcare,stable,0,DJUSHC,True,10,🔥 TIMING PERFECTO: 4 compras de insiders durante VCP base (5 días),73.02,90.75,24.28,96.5,32.15557381539305,26,25.0,52.53237,,6.382886423543249,0.022869999,0.084,0,,True,2,20,6,Perfect Timing | Repeater 2x,"⚡ MODERATE (0.0/100 - ⭐⭐⭐ EXCELENTE)

• 🔁 VCP REPEATER: Stock formó VCP patterns 2x históricamente - track record comprobado (+6 bonus)
• 💰 UPSIDE POTENTIAL: 24% hasta precio objetivo $90.75
• 📊 FUNDAMENTALS: FCF yield 6.4% (Score: 25/100)",73.0199966430664,2026-03-19,20260319_084255
CDNS,CDNS,68.6,⭐⭐ BUENA,Seguimiento recomendado,90.27272727272728,50,50.0,0.0,,stable,0,,True,10,🔥 TIMING PERFECTO: 2 compras de insiders durante VCP base (1 días),,,,,,0,50.0,,,,,,0,,True,3,40,9,Perfect Timing | Repeater 3x,"⚡ MODERATE (0.0/100 - ⭐⭐ BUENA)

• 🔁 VCP REPEATER: Stock formó VCP patterns 3x históricamente - track record comprobado (+9 bonus)",289.6400146484375,2026-03-19,20260319_084255
