ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date
9999.HK,"NetEase, Inc.",186.8,HKD,84.0,A,84.0,ROE 22.6% | Potencial +36% analistas | FCF yield 5.2% | Margen 30% | Dividendo 2.5% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,253.52,35.7,22,5.2,4.46,2.49,,22.6,11.9,15.7,30.0,3.0,-24.7,regulatory risks in Chinese tech sector | cyclical risks in gaming industry,NTES,SUSPECT,Low forward P/E and high profit margin may indicate undervaluation or accounting discrepancies,2026-03-17
2020.HK,ANTA Sports Products Limited,79.65,HKD,82.0,A,82.0,ROE 25.4% | Potencial +35% analistas | FCF yield 5.7% | Dividendo 3.5% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,107.85,35.4,32,5.7,4.43,3.49,,25.4,13.8,13.5,19.7,14.3,-25.1,Cyclical Risk | Geopolitical Risk,,CLEAN,Metrics appear reasonable for a consumer cyclical company,2026-03-17
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",63.1,HKD,77.0,A,77.0,P/E 6.8x (vs 11x mercado) | Potencial +33% analistas | Crecimiento ingresos +36% | Dividendo 4.5% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,84.19,33.4,18,,4.18,4.5,,12.2,6.8,7.3,14.1,35.5,-15.5,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risk | Geopolitical risk | Real estate exposure,PNGAY,SUSPECT,Anomalous FCF yield and potential exposure to Chinese real estate sector pose concerns,2026-03-17
000660.KS,SK hynix Inc.,970000.0,KRW,76.0,A,76.0,ROE 44.1% | P/E 4.6x (vs 11x mercado) | Potencial +29% | Crecimiento ingresos +66% | Margen 44%,2,0,Technology,Korea,🇰🇷,21.2,1255696.8,29.5,38,2.6,3.68,,,44.1,4.6,,44.2,66.1,-11.7,cyclical | geopolitical,HXSCL,SUSPECT,Anomalous forward P/E of 4.6x and extremely high ROE and profit margin for a technology company,2026-03-17
0700.HK,Tencent Holdings Limited,550.0,HKD,71.0,A,71.0,ROE 19.8% | Potencial +38% analistas | Crecimiento ingresos +15% | Margen 30% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,757.88,37.8,45,2.6,4.72,0.77,,19.8,15.5,21.8,29.9,15.4,-19.5,regulatory risks due to Chinese tech sector oversight | geopolitical risks due to US-China trade tensions,TCEHY,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual for a growth company like Tencent",2026-03-17
1299.HK,AIA Group Limited,83.0,HKD,71.0,A,71.0,ROE 15.1% | Potencial +21% | Crecimiento ingresos +29% | Margen 24% | Dividendo 2.2% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,100.62,21.2,18,,2.65,2.16,,15.1,13.9,18.9,23.8,29.4,-9.9,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risk | Geopolitical risk | Real estate sector risk,,SUSPECT,Anomalous FCF yield and potential exposure to Chinese real estate sector,2026-03-17
6690.HK,"Haier Smart Home Co., Ltd.",25.06,HKD,71.0,A,71.0,ROE 18.2% | P/E 9.3x | Potencial +32% analistas | Dividendo 5.4% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Consumer Cyclical,HongKong,🇭🇰,10.7,33.1,32.1,18,0.7,4.01,5.38,,18.2,9.3,9.8,6.8,9.5,-11.1,cyclical risk | governance risk,,SUSPECT,Low FCF yield and high dividend yield may indicate potential cash flow issues,2026-03-17
9984.T,SoftBank Group Corp.,3544.0,JPY,69.0,A,69.0,ROE 26.0% | P/E 12.0x | Potencial +53% analistas | FCF negativo | Margen 48% | Mercado Japan CAPE 29 (26% descuento histórico),4,1,Communication Services,Japan,🇯🇵,29.4,5416.85,52.8,17,-0.3,6.61,0.31,,26.0,12.0,6.6,48.2,8.2,-48.8,cyclical | governance,SFTBY,SUSPECT,Negative FCF yield and low dividend yield raise concerns about the company's ability to generate cash and reward shareholders,2026-03-17
TOTS3.SA,TOTVS S.A.,35.12,BRL,69.0,A,69.0,ROE 16.1% | Potencial +48% analistas | Crecimiento ingresos +15% | Dividendo 1.7% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Technology,Brazil,🇧🇷,9.0,51.83,47.6,13,1.1,5.95,1.74,,16.1,15.7,24.9,15.4,15.1,-27.4,valuation risk | reporting quality risk,,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual and may indicate potential overvaluation or incorrect reporting",2026-03-17
SUZB3.SA,Suzano S.A.,53.15,BRL,69.0,A,69.0,ROE 35.2% | P/E 6.4x (vs 10x mercado) | Potencial +34% analistas | FCF negativo | Margen 27% | Dividendo 2.1% | Mercado Brazil CAPE 9 (34% descuento histórico),4,1,Basic Materials,Brazil,🇧🇷,9.0,71.21,34.0,17,-0.8,4.25,2.1,,35.2,6.4,4.9,26.8,-7.5,-10.9,Ingresos en declive YoY | Deuda elevada (D/E >2x) | High Debt | Negative Cash Flow,,RISKY,Negative FCF yield and high debt-to-equity ratio raise concerns,2026-03-17
