ticker,company_name,current_price,currency,value_score,conviction_grade,conviction_score,conviction_reasons,conviction_positives,conviction_red_flags,sector,market,market_flag,market_cape,target_price_analyst,analyst_upside_pct,analyst_count,fcf_yield_pct,risk_reward_ratio,dividend_yield_pct,buyback_active,roe_pct,pe_forward,pe_trailing,profit_margin_pct,revenue_growth_pct,pct_from_52w_high,risk_flags,nasdaq_adr,ai_verdict,ai_notes,scan_date
9999.HK,"NetEase, Inc.",186.9,HKD,84.0,A,84.0,ROE 22.6% | Potencial +35% analistas | FCF yield 5.2% | Margen 30% | Dividendo 2.5% | Mercado HongKong CAPE 11 (33% descuento histórico),4,0,Communication Services,HongKong,🇭🇰,10.7,252.99,35.4,22,5.2,4.42,2.55,,22.6,11.9,15.6,30.0,3.0,-24.6,regulatory risks in Chinese tech sector | cyclical risks in gaming industry,NTES,SUSPECT,Low forward P/E and high profit margin may indicate undervaluation or accounting discrepancies,2026-03-16
2020.HK,ANTA Sports Products Limited,78.4,HKD,82.0,A,82.0,ROE 25.4% | Potencial +37% analistas | FCF yield 5.8% | Dividendo 3.5% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Consumer Cyclical,HongKong,🇭🇰,10.7,107.63,37.3,32,5.8,4.66,3.53,,25.4,13.6,13.2,19.7,14.3,-26.2,cyclical risk | geopolitical risk,,CLEAN,Metrics appear reasonable for a consumer cyclical company,2026-03-16
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",62.25,HKD,77.0,A,77.0,P/E 6.7x (vs 11x mercado) | Potencial +35% analistas | Crecimiento ingresos +36% | Dividendo 4.5% | Mercado HongKong CAPE 11 (33% descuento histórico),1,0,Financial Services,HongKong,🇭🇰,10.7,84.01,35.0,18,,4.37,4.5,,12.2,6.7,7.1,14.1,35.5,-16.7,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory Risk | Geopolitical Risk | Real Estate Risk,PNGAY,SUSPECT,Anomalous FCF Yield and potential exposure to Chinese real estate sector,2026-03-16
000660.KS,SK hynix Inc.,974000.0,KRW,76.0,A,76.0,ROE 44.1% | P/E 4.6x (vs 11x mercado) | Potencial +29% | Crecimiento ingresos +66% | Margen 44%,2,0,Technology,Korea,🇰🇷,21.2,1255696.8,28.9,38,2.6,3.62,,,44.1,4.6,,44.2,66.1,-11.4,cyclical | geopolitical,HXSCL,SUSPECT,Anomalous forward P/E of 4.6x and extremely high ROE and profit margin for a technology company,2026-03-16
0700.HK,Tencent Holdings Limited,558.5,HKD,71.0,A,71.0,ROE 19.8% | Potencial +35% analistas | Crecimiento ingresos +15% | Margen 30% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Communication Services,HongKong,🇭🇰,10.7,756.28,35.4,45,2.6,4.43,0.76,,19.8,15.7,22.0,29.9,15.4,-18.2,Regulatory risk due to Chinese tech industry oversight | Geopolitical risk due to US-China trade tensions,TCEHY,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual for a growth company like Tencent",2026-03-16
6690.HK,"Haier Smart Home Co., Ltd.",25.0,HKD,71.0,A,71.0,ROE 18.2% | P/E 9.3x | Potencial +32% analistas | Dividendo 5.4% | Mercado HongKong CAPE 11 (33% descuento histórico),2,0,Consumer Cyclical,HongKong,🇭🇰,10.7,33.1,32.4,18,0.7,4.05,5.37,,18.2,9.3,9.7,6.8,9.5,-11.3,cyclical risk | governance risk,,SUSPECT,Low FCF yield and high dividend yield may indicate potential cash flow issues,2026-03-16
1299.HK,AIA Group Limited,83.4,HKD,71.0,A,71.0,ROE 15.1% | Potencial +21% | Crecimiento ingresos +29% | Margen 24% | Dividendo 2.2% | Mercado HongKong CAPE 11 (33% descuento histórico),3,0,Financial Services,HongKong,🇭🇰,10.7,100.54,20.6,18,,2.57,2.2,,15.1,14.0,19.0,23.8,29.4,-9.4,FCF no comparable (sector financiero) | Aseguradora — posible exposición inmobiliaria | Banco/aseguradora HK — exposición sector inmuebles chino | Regulatory risk | Geopolitical risk | Real estate exposure,,SUSPECT,Anomalous FCF yield and potential exposure to Chinese real estate sector,2026-03-16
9984.T,SoftBank Group Corp.,3609.0,JPY,69.0,A,69.0,ROE 26.0% | P/E 12.2x | Potencial +50% analistas | FCF negativo | Margen 48% | Mercado Japan CAPE 29 (26% descuento histórico),4,1,Communication Services,Japan,🇯🇵,29.4,5416.85,50.1,17,-0.3,6.26,0.3,,26.0,12.2,6.7,48.2,8.2,-47.9,cyclical | governance,SFTBY,SUSPECT,Negative FCF yield and low dividend yield raise concerns about the company's ability to generate cash and reward shareholders,2026-03-16
TOTS3.SA,TOTVS S.A.,34.59,BRL,69.0,A,69.0,ROE 16.1% | Potencial +50% analistas | Crecimiento ingresos +15% | Dividendo 1.8% | Mercado Brazil CAPE 9 (34% descuento histórico),2,0,Technology,Brazil,🇧🇷,9.0,51.83,49.8,13,1.1,6.23,1.76,,16.1,15.3,24.5,15.4,15.1,-28.5,valuation risk | reporting accuracy,,SUSPECT,"Forward P/E is lower than trailing P/E, which is unusual and may indicate potential overvaluation or incorrect reporting",2026-03-16
SUZB3.SA,Suzano S.A.,53.4,BRL,69.0,A,69.0,ROE 35.2% | P/E 6.4x (vs 10x mercado) | Potencial +33% analistas | FCF negativo | Margen 27% | Dividendo 2.1% | Mercado Brazil CAPE 9 (34% descuento histórico),4,1,Basic Materials,Brazil,🇧🇷,9.0,71.21,33.4,17,-0.8,4.17,2.09,,35.2,6.4,4.9,26.8,-7.5,-10.5,Ingresos en declive YoY | Deuda elevada (D/E >2x) | High Debt | Negative FCF Yield | Cyclical Industry Risks,,RISKY,Negative FCF yield and high debt-to-equity ratio indicate potential liquidity and solvency issues,2026-03-16
